分类,题干,A,B,C,D,E,正确答案,解析
基础科目,药物的排泄途径不包括（ ）。,胆汁,肝脏,肾脏,乳汁,汗腺,B,"标准答案：B
出处：押题1.pdf
解析：ACDE四项，药物及其代谢物主要经肾脏排泄，其次可通过胆汁随粪便排出体外。此外，少部分药物
也可通过乳腺、肺、唾液、汗腺排出体外。"
基础科目,主要⽤于治疗猪痢疾的⾸选药物是（ ）。,环丙沙星,呋喃坦啶,林可霉素,⼄酰甲喹,青霉素G,D,"标准答案：D
出处：押题1.pdf
解析：D项，⼄酰甲喹又称痢菌净，为喹恶啉类药物，是治疗密螺旋体感染所致的猪痢疾的⾸选药。"
基础科目,磺胺药与TMP合⽤的药理学基础是（ ）。,对细菌叶酸的合成起⼆重阻断作⽤,协同抑制细菌细胞壁的合成,协同抑制细菌蛋⽩质的合成,促进磺胺药的吸收,抗菌谱互补,A,"标准答案：A
出处：押题1.pdf
解析：A项，磺胺类药物的作⽤机理为：与PABA竞争⼆氢叶酸合成酶，抑制⼆氢叶酸的合成，使核酸合成
受阻；TMP的作⽤机制为：抑制⼆氢叶酸还原酶，阻碍叶酸的代谢和利⽤，影响核酸合成。因此磺
胺药与TMP合⽤时，能够使叶酸的合成受到双重阻断。"
基础科目,能够产⽣诱导⿇醉的全⾝⿇醉药是（ ）。,氯胺酮,丙泊酚,氟烷,静松灵,异氟醚,B,"标准答案：B
出处：押题1.pdf
解析：全⾝⿇醉药是指对中枢神经系统有⼴泛作⽤，能够使意识、感觉及反射活动逐渐消失特别是痛觉消
失，以便于进⾏外科⼿术的⼀类药物，分为诱导⿇醉药、吸⼊⿇醉药和⾮吸⼊⿇醉药。B项，丙泊酚
为诱导⿇醉药，主要⽤于全⾝⿇醉的诱导和维持，为⼩动物（猫、⽝）门诊⽤药。"
基础科目,下列哪⼀种药物属于动物专⽤的抗菌药？（ ）,氟甲砜霉素,头孢曲松,阿奇霉素,四环素,氧氟沙星,A,"标准答案：A
出处：押题1.pdf
解析：A项，氟甲砜霉素又称氟苯尼考，为动物专⽤的抗⽣素，主要⽤于治疗畜禽的⽀原体病、⼤肠杆菌
病、沙门⽒菌病、巴⽒杆菌病等。BCDE四项，均属于医⽤抗⽣素，后转移⾄动物疾病治疗中使⽤。"
基础科目,氟尼⾟葡甲胺的药理作⽤不包括（ ）。,抗炎,镇痛,镇静,抗风湿,解热,C,"标准答案：C
出处：押题1.pdf
解析：ABDE四项，氟尼⾟葡甲胺为强效的环氧酶抑制剂，是⼀种新型的动物专⽤解热镇痛抗炎药，具有镇
痛、解热、抗炎和抗风湿作⽤。其镇痛作⽤是通过抑制外周的前列腺素或其痛觉增敏物质的合成，
从⽽阻断痛觉冲动传导来发挥的；外周组织的抗炎作⽤可能是通过抑制环氧酶、减少前列腺素前体
物质的形成，以及抑制其他介质引起局部炎症反应来发挥的。"
基础科目,抢救青霉素过敏性休克的⾸选药物是（ ）。,多巴胺,阿托品,肾上腺素,抗组胺药,去甲肾上腺素,C,"标准答案：C
出处：押题1.pdf
解析：青霉素为β-内酰胺类抗⽣素，具有较强的抗菌作⽤，对⾰兰⽒阳性和阴性球菌、⾰兰⽒阳性杆菌、
放线菌和螺旋体等⾼度敏感。其不良反应主要是过敏反应，严重时表现为过敏性休克，当发⽣过敏
性休克时，可选⽤肾上腺素和糖⽪质醇激素药物来治疗，且⾸选药为肾上腺素。"
基础科目,⽑果芸⾹碱对眼睛的作⽤是（ ）。,瞳孔扩⼤，升⾼眼内压，调节⿇痹,瞳孔扩⼤，降低眼内压，调节⿇痹,瞳孔缩⼩，降低眼内压，调节痉挛,瞳孔缩⼩，降低眼内压，调节⿇痹,瞳孔缩⼩，升⾼眼内压，调节痉挛,C,"标准答案：C
出处：押题1.pdf
解析：⽑果芸⾹碱直接选择性兴奋M胆碱受体，产⽣与节后胆碱能神经兴奋相似的效应。对眼部作⽤明
显，⽆论是局部点眼还是注射，都能使瞳孔缩⼩，这是兴奋虹膜括约肌上的M胆碱受体，使虹膜括
约肌收缩。⽑果芸⾹碱还具有降低眼内压，调节痉挛的作⽤。"
基础科目,具有抗球⾍作⽤的药物是（ ）。,莫能菌素,⼤观霉素,多西环素,泰乐菌素,伊维菌素,A,"标准答案：A
出处：押题1.pdf
解析：A项，莫能菌素为单价离⼦载体类抗球⾍药，具有⼴谱抗球⾍作⽤，对鸡的毒害、柔嫩、巨型、变
＋ ＋
位、布⽒艾美⽿球⾍等均有很好的杀灭效果，其杀球⾍的机理为：⼲扰球⾍细胞内K 、Na 的正
＋
常渗透，使⼤量的Na 进⼊细胞内，进⽽使得⼤量⽔分进⼊球⾍细胞，引起球⾍细胞肿胀⽽死亡。
BCD三项，均为抗菌药。E项，伊维菌素为抗线⾍药和抗外寄⽣⾍药。"
基础科目,具有增加肠内容积、软化粪便、加速粪便排泄作⽤的药物是（ ）。,鱼⽯脂,铋制剂,硫酸钠,鞣酸蛋⽩,稀盐酸,C,"标准答案：C
出处：押题1.pdf
解析：A项，鱼⽯脂为消毒防腐药。BD两项，均为⽌泻药。C项，硫酸钠又称芒硝，是⼀种泻药，其内服
＋ 2－
后在肠内可解离出Na 和SO 4 ，具有扩⼤肠管容积，软化粪便，刺激肠壁，增强其蠕动，进⽽加
速粪便排泄的作⽤，可⽤于治疗⼤肠便秘，排除肠内毒物、毒素或作为驱⾍药的辅助⽤药。E项，稀
盐酸⼜服后能够增加胃内酸度，促进胃内主细胞分泌的胃蛋⽩酶原转化为胃蛋⽩酶，并能够增强胃
蛋⽩酶的活性。"
基础科目,长期反复应⽤呋塞⽶，可能造成的不良反应是（ ）。,免疫抑制,结晶尿,致癌,⾼钙⾎症,低钾⾎症,E,"标准答案：E
出处：押题1.pdf
解析：呋塞⽶是⼀种常见的袢利尿药，主要作⽤于髓袢升⽀粗段，能够选择性地抑制NaCl的重吸收，进⽽
产⽣强⼤的利尿作⽤，主要⽤于治疗各种原因引起的全⾝⽔肿及其他利尿药⽆效的严重病例，但长
期使⽤会诱发低钠、低钙、低钾⾎症以及胃肠道功能紊乱等不良反应。
⼆、基础科⽬——A2型题 （每⼀道考题是以⼀个⼩案例出现的，其下
⾯都有A、B、C、D、E五个备选答案。请从中选择⼀个最佳答案。）"
基础科目,"某猪场病死猪剖检可见⼼脏扩张，⼼室和乳头肌有⼤⼩不等、界限不清的淡灰或黄⽩⾊的条纹，
状似虎斑，部分病死猪在蹄冠与趾间出现⽔疱与烂斑。将此病猪的肝脏作⽯蜡切⽚，HE染⾊后，镜
下可见肝细胞内有（ ）。",红染⼩颗粒,均质红染圆滴,红染条索,⼤⼩不⼀的空泡,红染团块,D,"标准答案：D
出处：押题1.pdf
解析：根据病猪临床特征和剖检特征，初步判定该病猪肝脏的病变为脂肪变性。在正常细胞结构中，脂滴
是重要的胞浆内含物之⼀，其以极⼩的微粒散布于细胞浆中，光镜下看不见，主要成分为中性脂肪
及类脂质，在常规⽯蜡切⽚中能够被脂溶性溶剂（酒精、⼆甲苯等）溶解⽽呈圆形空泡状。因此，
将此病猪的肝脏作⽯蜡切⽚，HE染⾊后，镜下可见肝细胞内有⼤⼩不⼀的空泡。"
基础科目,"⼀头奶⽜长期患病，临床表现咳嗽、呼吸困难、消瘦和贫⾎等。死后剖检可见多种器官组织，尤
其是肺、淋巴结和乳房等处有散在⼤⼩不等的结节性病变，切⾯有似⾖腐渣样、质地松软的灰⽩⾊
或黄⽩⾊物，似⾖腐渣样的病理变化属于（ ）。",蜡样坏死,湿性坏死,⼲酪性坏死,液化性坏死,贫⾎性梗死,C,"标准答案：C
出处：押题1.pdf
解析：⼲酪样坏死属于凝固性坏死的⼀种，主要见于结核杆菌和⿐疽杆菌等引起的感染性炎症。其死灶局
部除凝固的蛋⽩质外，还含有多量的由结核杆菌产⽣的脂类物质，使坏死灶外观呈灰⽩⾊或黄⽩
⾊、松软⽆结构，似⼲酪（奶酪）样或⾖腐渣样，故称为⼲酪样坏死。"
基础科目,"动物患⽪肤病，⽪肤局部出现红点、红斑，且有癣样病灶，伴发瘙痒症状。⽤青霉素、双甲脒等
药物治疗多天⽆效。应考虑选择的药物是（ ）。",溴氰菊酯,酮康唑,伊维菌素,氟苯尼考,头孢噻呋,B,"标准答案：B
出处：押题1.pdf
解析：治疗癣菌感染的⽪肤病应考虑选择抗真菌药。AC两项，均为抗外寄⽣⾍药。B项，酮康唑为⼴谱抗
真菌药，对全⾝和浅表真菌均有抗菌活性，⼀般浓度对真菌有抑制作⽤，⾼浓度时对敏感真菌有杀
灭作⽤，对芽⽣菌、球孢⼦菌、隐球菌、组织胞浆菌、⼩孢⼦菌和⽑癣菌等真菌有抑制作⽤。DE两
项，均为抗菌药。"
基础科目,"接受氨基可直接转化为天冬氨酸的是（ ）。
【答案】 D
【解析】
糖有氧分解过程中产⽣的丙酮酸、α-酮戊⼆酸和草酸⼄酸可通过氨基化作⽤转变为氨基酸继续参与
其他代谢过程，其中丙酮酸接受氨基会转化为丙氨酸；α-酮戊⼆酸接受氨基后会转化为⾕氨酸；草
酰⼄酸接受氨基会转化为天冬氨酸。
（97～98题共⽤备选答案）",淋巴细胞,单核细胞,中性粒细胞,嗜酸性粒细胞,嗜碱性粒细胞,D,"标准答案：D
出处：押题1.pdf
解析：糖有氧分解过程中产⽣的丙酮酸、α-酮戊⼆酸和草酸⼄酸可通过氨基化作⽤转变为氨基酸继续参与
其他代谢过程，其中丙酮酸接受氨基会转化为丙氨酸；α-酮戊⼆酸接受氨基后会转化为⾕氨酸；草
酰⼄酸接受氨基会转化为天冬氨酸。
（97～98题共⽤备选答案）
A.淋巴细胞
B.单核细胞
C.中性粒细胞
D.嗜酸性粒细胞
E.嗜碱性粒细胞"
基础科目,"在寄⽣⾍性炎症或变态反应性炎症时，引起渗出的⽩细胞主要是（ ）。
【答案】 D
【解析】
嗜酸性粒细胞具有⼀定的吞噬能⼒，能吞噬变态反应时抗原抗体复合物，调整限制速发型变态反
应；同时在寄⽣⾍引起的炎性反应灶内，可吸附于⾍体表⾯，对寄⽣⾍起直接杀伤作⽤。
（99～100题共⽤备选答案）",配伍禁忌,协同作⽤,相加作⽤,颉颃作⽤,⽆关作⽤,D,"标准答案：D
出处：押题1.pdf
解析：嗜酸性粒细胞具有⼀定的吞噬能⼒，能吞噬变态反应时抗原抗体复合物，调整限制速发型变态反
应；同时在寄⽣⾍引起的炎性反应灶内，可吸附于⾍体表⾯，对寄⽣⾍起直接杀伤作⽤。
（99～100题共⽤备选答案）
A.配伍禁忌
B.协同作⽤
C.相加作⽤
D.颉颃作⽤
E.⽆关作⽤"
预防科目,细菌在固体培养基上培养，通过⾁眼可观察到的是（ ）。,菌体排列,菌体集落,菌体⼤⼩,菌体结构,菌体形态,B,"标准答案：B
出处：押题1.pdf
解析：细菌在适宜的固体培养基中，适宜的条件下经过⼀定时间的培养，可在培养基表⾯或内部分裂增殖
⽣成⼤量的菌体细胞，形成⾁眼可见的、有⼀定形态的菌体集落，称为菌落。不同种细菌的菌落在
⼤⼩、⾊泽、表⾯性状、边缘结构等⽅⾯各具特征，由此可初步判断细菌的种类。"
预防科目,肠杆菌科细菌鉴定的主要依据是（ ）。,⽣化特性,染⾊特性,菌落特征,动物试验,形态特征,A,"标准答案：A
出处：押题1.pdf
解析：肠道杆菌种类很多，⼀般为⾰兰⽒阴性菌，它们的染⾊特性、镜下形态和菌落特征基本相同。因
此，利⽤⽣化反应对肠道杆菌进⾏鉴定是必不可少的步骤，因此答案选A。"
预防科目,细菌抵抗不良环境的特殊存活形式是（ ）。,菌⽑,鞭⽑,荚膜,细胞膜,芽孢,E,"标准答案：E
出处：押题1.pdf
解析：E项，芽孢又称内⽣孢⼦，是细菌休眠体。它是某些细菌在⼀定条件下胞质脱⽔浓缩形成的具有多层
膜包裹、通透性低的圆形或椭圆形⼩体，是细菌抵抗不良环境的特殊存活形式。"
预防科目,荚膜的主要功能是（ ）。,繁殖作⽤,黏附作⽤,抵抗宿主细胞吞噬,运动器官,增强细菌的毒⼒,C,"标准答案：C
出处：押题1.pdf
解析：荚膜是某些细菌在细胞壁外包绕的⼀层边界清楚且较厚的黏液样物质，其主要功能是保护细菌以抵
御吞噬细胞的吞噬，是构成细菌致病性的重要因素。"
预防科目,必须在有氧条件下才能⽣长繁殖的细菌是（ ）。,兼性厌氧菌,专性厌氧菌,微需氧菌,专性需氧菌,以上都不是,D,"标准答案：D
出处：押题1.pdf
解析：A项，兼性厌氧菌是指在有氧和⽆氧环境中均能⽣长繁殖，但以⽆氧环境⽣长较好的细菌，如⼤肠杆
菌。B项，专性厌氧菌是指必须在⽆氧条件下才能⽣长繁殖的细菌，如破伤风杆菌。C项，微需氧菌
是指在低氧压的环境中⽣长最好的细菌，如空肠弯曲菌。D项，专性需氧菌是指必须在有氧条件下才
能⽣长繁殖的细菌，如结核分枝杆菌。"
预防科目,促进⼀类细菌⽣长繁殖，抑制某些细菌⽣长的培养基是（ ）。,营养培养基,选择培养基,基础培养基,厌氧培养基,鉴别培养基,B,"标准答案：B
出处：押题1.pdf
解析：培养基是指⼈⼯配制、适合细菌⽣长繁殖的营养基，根据营养组成和⽤途，主要分为：①基础培养
基，含有细菌⽣长繁殖所需要的基本营养成分的培养基；②营养培养基，是在基础培养基中加⼊葡
萄糖、⾎液、⾎清、酵母浸膏等配制得到的培养基；③选择培养基，是根据特定⽬的在培养基中加
⼊某种化学物质，以抑制某些细菌⽣长，促进另⼀类细菌的⽣长繁殖，以便从混杂多种细菌的样本
中分离出所需细菌，如麦康凯培养基；④厌氧培养基，是专供培养厌氧菌⽽设计的培养基。"
预防科目,细菌的繁殖⽅式是（ ）。,掷孢⼦,⼆分裂增殖,复制,产⽣芽孢⼦,芽殖,B,"标准答案：B
出处：押题1.pdf
解析：B项，细菌个体多以⼆分裂⽅式进⾏⽆性繁殖，即当细菌⽣长到⼀定时间，会在细胞中间逐渐形成横
隔，进⽽将⼀个细胞分裂成两个同等⼤⼩的⼦细胞。其中球菌⼀般沿不同平⾯进⾏分裂，杆菌则沿
横轴分裂。"
预防科目,"细菌⽣长曲线中，细菌菌体增⼤，代谢活跃，但分裂迟缓，细菌数并不显著增加的阶段是在（
）。",稳定期,衰亡期,对数期,迟缓期,D＋A,D,"标准答案：D
出处：押题1.pdf
解析：迟缓期为细菌进⼊新环境的适应阶段，主要是合成和积累⽣长繁殖所需的各种酶系统，⼀般为最初
培养的1～4h。此期菌体增⼤，代谢活跃，但分裂迟缓，细菌数并不显著增加。因此答案选D。"
预防科目,适⽤于⾎清培养基的灭菌⽅法是（ ）。,煮沸法,⼲热灭菌法,流通蒸汽灭菌法,紫外线照射法,⾼压蒸汽灭菌法,C,"标准答案：C
出处：押题1.pdf
解析：流通蒸汽法是利⽤蒸笼或蒸汽灭菌器产⽣100℃的蒸汽，30min可杀死细菌繁殖体，但不能杀死其芽
孢。常⽤于不耐⾼温的营养物品，如含糖或含⾎清培养基的灭菌。"
预防科目,⼀种菌株致病⼒的程度是指（ ）。,侵袭⼒,毒⼒,病原性,产毒性,毒素,B,"标准答案：B
出处：押题1.pdf
解析：细菌的致病性是指细菌侵⼊动物体后突破宿主防御功能，并引起机体出现不同程度病理变化的能
⼒，细菌的这种不同程度的致病能⼒称为毒⼒，其测定⽅法主要有半数致死量（LD 50）和半数感染
量（ID 50）。"
预防科目,采⽤0.22μm孔径滤膜过滤⼩⽜⾎清的⽬的是（ ）。,抑菌,除菌,消毒,杀菌,防腐,B,"标准答案：B
出处：押题1.pdf
解析：滤过除菌法是指利⽤物理阻留的⽅法，通过含有微细⼩孔的滤器将液体或空⽓中的细菌除去，以达
到⽆菌⽬的的除菌⽅法。其所⽤的器具为滤菌器，孔径介于0.22～0.45μm，⼀般不能除去病毒、⽀
原体等。"
预防科目,⽆菌室空⽓消毒常⽤的射线是（ ）。,β-射线,γ-射线,α-射线,X-射线,紫外线,E,"标准答案：E
出处：押题1.pdf
解析：波长在200～300nm的紫外线具有杀菌作⽤，其中以265～266nm波长的紫外线杀菌能⼒最强。紫外线
杀菌灯可以消毒物体表⾯，常⽤于微⽣物实验室、⽆菌室、养殖场⼊⼜的消毒室、⼿术室、传染病
房、种蛋室等的空⽓消毒。"
预防科目,能达到灭菌效果，但不破坏培养基成分的⽅法是（ ）。,⾼压灭菌,煮沸灭菌,流通蒸汽灭菌,热空⽓灭菌,⽕焰灭菌,C,"标准答案：C
出处：押题1.pdf
解析：流通蒸汽灭菌法是指利⽤蒸笼或蒸汽灭菌器产⽣的100℃的蒸汽杀死微⽣物的灭菌⽅法，灭菌时间通
常为30～60min，常⽤于不耐⾼温的营养物品的消毒，如含糖或⾎清培养基的灭菌。"
预防科目,⼤肠菌群是⼀群（ ）。,有芽孢的杆菌,专性厌氧的杆菌,⾰兰⽒阳性的杆菌,发酵乳糖、产酸产⽓的杆菌,发酵乳糖、产酸不产⽓的杆菌,D,"标准答案：D
出处：押题1.pdf
解析：⼤肠埃希菌为⼀群在37℃条件下能够发酵乳糖、产酸产⽓、需氧或兼性厌氧的⾰兰⽒阴性⽆芽孢的
⼩杆菌。其在琼脂平板上能够长成圆形、隆起、光滑、湿润、边缘整齐的灰⽩⾊⼩菌落；在麦康凯
琼脂上能够形成红⾊菌落；在伊红美蓝琼脂上能够产⽣⿊⾊带⾦属闪光的菌落。"
预防科目,⽆⾎凝素纤突但有⾎凝性的病毒是（ ）。,鹅细⼩病毒,猪细⼩病毒,猪圆环病毒,⽝瘟热病毒,禽流感病毒,B,"标准答案：B
出处：押题1.pdf
解析：AC两项，均⽆⾎凝活性。B项，猪细⼩病毒呈六⾓形或圆形，⽆囊膜，具有凝集红细胞的特性，其
具有⾎凝特性的⾎凝部位分布在VP2蛋⽩上。DE两项，均具有⾎凝素纤突。"
预防科目,⽬前已知动物病毒中形体最⼤的病毒是（ ）。,新城疫病毒,禽流感病毒,⼜蹄疫病毒,猪瘟病毒,痘病毒,E,"标准答案：E
出处：押题1.pdf
解析：动物病毒中最⼤的病毒为痘病毒，约300nm；最⼩的病毒为圆环病毒，仅17nm。"
预防科目,可引起禽类肿瘤性疾病的双股DNA病毒是（ ）。,新城疫病毒,鸡痘病毒,马⽴克病病毒,传染性法⽒囊病病毒,禽流感病毒,C,"标准答案：C
出处：押题1.pdf
解析：马⽴克病是由马⽴克病病毒（双股DNA病毒）引起的⼀种最常见的鸡淋巴组织增⽣性疾病，临床上
以外周神经、性腺、虹膜、各种内脏器官、肌⾁和⽪肤单核细胞性浸润和形成肿瘤为特征。"
预防科目,裸露病毒保护核酸免受环境中核酸酶破坏的结构是（ ）。,芯髓,⾐壳,纤突,囊膜,膜粒,B,"标准答案：B
出处：押题1.pdf
解析：完整的病毒颗粒主要由核酸和蛋⽩质组成，其中核酸构成病毒的基因组，为病毒的复制、遗传和变
异等功能提供遗传信息；⽽蛋⽩质主要组成病毒的⾐壳，起保护病毒核酸免受环境中核酸酶或其他
影响因素的破坏的作⽤，此外，还具有介导病毒核酸进⼊宿主细胞的作⽤。"
预防科目,下列关于猪繁殖与呼吸综合征的叙述，哪项错误？（ ）,以母猪发⽣流产，产死胎、弱胎、⽊乃伊胎及仔猪呼吸困难、⾼死亡率为主要特征,猪是唯⼀感染本病并出现症状的⾃然宿主,本病以妊娠母猪和仔猪最为常见,⽆季节性,由猪繁殖与呼吸综合征病毒引起,D,"标准答案：D
出处：押题1.pdf
解析：猪繁殖与呼吸综合征（英⽂简称PRRS）是由尼多病毒⽬动脉炎病毒科猪繁殖与呼吸综合征病毒
（PRRSV）引起的⼀种猪的⾼度接触性传染病，又称猪蓝⽿病。不同年龄、品种和性别的猪均可发
⽣，但以妊娠母猪和仔猪最为常见。该病以母猪发⽣流产，产死胎、弱胎、⽊乃伊胎以及仔猪呼吸
困难、⾼死亡率等为主要特征，本病的发⽣多呈明显的季节性，尤以寒冷季节多发。"
预防科目,下列哪⼀种物质免疫原性最好？（ ）,蛋⽩质,核酸,脂肪,激素,多糖,A,"标准答案：A
出处：押题1.pdf
解析：抗原是指能刺激机体产⽣抗体和效应性淋巴细胞，并能与之结合引起特异性免疫反应的物质，具有
免疫原性与反应原性两种性能，其中免疫原性是指抗原能刺激机体产⽣抗体和效应淋巴细胞的特
性。影响抗原免疫原性的关键因素是抗原分⼦本⾝的特性，包括异源性、分⼦⼤⼩、化学组成和结
构等，其中抗原分⼦质量越⼤、免疫原性越强。因此答案选A。"
预防科目,具有反应原性⽽没有免疫原性的抗原是（ ）。,半抗原,异嗜性抗原,病毒抗原,类毒性抗原,细菌抗原,A,"标准答案：A
出处：押题1.pdf
解析：抗原的种类很多，依据抗原的性质可分为完全抗原和不完全抗原（即半抗原），其中完全抗原为既
具有免疫原性又有反应原性的物质；半抗原为只具有反应原性⽽⽆免疫原性的物质，如⼤多数糖、
类脂、药物分⼦等。"
预防科目,下列哪⼀种物质进⼊动物机体不引起免疫应答？（ ）,异种红细胞,肾上腺素,病毒,晶状体蛋⽩,细菌,B,"标准答案：B
出处：押题1.pdf
解析：ACDE四项，均属于完全抗原，既具有免疫原性又有反应原性，进⼊机体后能够引起免疫应答。B
项，肾上腺素为半抗原，只有反应原性，⽽⽆免疫原性，因此进⼊动物机体后不能引起免疫应答。"
预防科目,补体激活后的⽣物学功能不包括（ ）。,ADCC作⽤,炎症反应,细胞溶解,调理作⽤,细胞黏附,A,"标准答案：A
出处：押题1.pdf
解析：BCDE四项，补体是存在于正常动物和⼈⾎清中的⼀组不耐热具有酶活性的球蛋⽩，其激活后的⽣物
学作⽤有：细胞溶解、细胞黏附、调理作⽤、免疫调节、炎症反应、病毒中和、免疫复合物的溶解
等。"
预防科目,在机体抗感染免疫早期，发挥最主要作⽤的抗体是（ ）。,IgA,IgG,IgD,IgE,IgM,E,"标准答案：E
出处：押题1.pdf
解析：IgM是动物机体初次体液免疫反应时最早产⽣的免疫球蛋⽩，在抗感染免疫的早期起着⼗分重要的作
⽤。⼀般通过检测IgM抗体，可进⾏疫病的⾎清学早期诊断。"
预防科目,动物接受抗原刺激后，特异性淋巴细胞增殖分化的主要部位是（ ）。,胸腺,⽪肤和黏膜,⾻髓,淋巴结和脾脏,⾎液,D,"标准答案：D
出处：押题1.pdf
解析：外周免疫器官又称次级或⼆级免疫器官，包括脾脏、淋巴结和存在于消化道、呼吸道和泌尿⽣殖道
的淋巴⼩结等，是成熟的T细胞和C细胞栖居、增殖和对抗原刺激产⽣免疫应答的场所。因此答案选
D。"
预防科目,递呈初次接触抗原最有效的细胞是（ ）。,树突状细胞,胸腺上⽪细胞,B淋巴细胞,⾎管内⽪细胞,巨噬细胞,A,"标准答案：A
出处：押题1.pdf
解析：树突状细胞又称抗原递呈细胞，是⼀类在免疫应答中将抗原递呈给抗原特异性淋巴细胞的免疫细
胞，具有强⼤的抗原加⼯和递呈作⽤，是递呈初次接触抗原最有效的细胞。"
预防科目,促进造⾎⼲细胞增殖、分化和成熟的因⼦是（ ）。,补体,抗体,⼲扰素,集落刺激因⼦,⽩细胞介素,D,"标准答案：D
出处：押题1.pdf
解析：细胞因⼦是指由免疫细胞和某些⾮免疫细胞合成和分泌的⼀类⾼活性、多功能的蛋⽩质多肽分⼦，
主要有⽩细胞介素、⼲扰素、肿瘤坏死因⼦、集落刺激因⼦等，其中集落刺激因⼦是⼀组能够促进
造⾎⼲细胞增殖、分化和成熟的因⼦。"
预防科目,输⾎反应属于典型的（ ）。,细胞毒型变态反应,过敏反应型变态反应,迟发型变态反应,免疫复合物型变态反应,移植物排斥反应,A,"标准答案：A
出处：押题1.pdf
解析：细胞毒型变态反应又称Ⅱ型变态反应，临床上常见的Ⅱ型变态反应有输⾎反应、新⽣畜溶⾎性贫⾎、
⾃⾝免疫溶⾎性贫⾎等。"
预防科目,传染病病愈后获得的对这种疾病的抵抗⼒为（ ）。,天然主动免疫,天然被动免疫,⼈⼯被动免疫,⾮特异性免疫,⼈⼯主动免疫,A,"标准答案：A
出处：押题1.pdf
解析：主动免疫是指动物机体免疫系统对⾃然感染的病原微⽣物或接种的疫苗产⽣免疫应答，获得对某种
病原微⽣物的特异性抵抗⼒的过程，包括天然主动免疫和⼈⼯主动免疫。其中天然主动免疫是指动
物感染病原体耐过后产⽣的对该病原体再次⼊侵的不感染状态或抵抗⼒。"
预防科目,检测敏感度可达到⽪克（pg）级⽔平的免疫学技术是（ ）。,SPA协同凝集试验,放射免疫分析技术,免疫荧光抗体技术,免疫酶组化染⾊技术,对流免疫电泳,B,"标准答案：B
出处：押题1.pdf
解析：放射免疫分析是指将放射性同位素测量的⾼度敏感性和抗原抗体反应的⾼度特异性结合起来⽽建⽴
的⼀种免疫分析技术，具有特异性强、灵敏度⾼、准确性和精密度好等优点，是⽬前其他分析⽅法
⽆法⽐拟的；⽽且操作简便，便于标准化，其灵敏度可达纳克（ng）⾄⽪克（pg）级⽔平，主要⽤
于各种⽣物活性物质以及药物残留的检测。"
预防科目,从细菌或病毒抗原中分离出蛋⽩质成分，除去其他成分⽽制成的疫苗属于（ ）。,基因缺失苗,亚单位疫苗,弱毒活疫苗,合成肽疫苗,重组疫苗,B,"标准答案：B
出处：押题1.pdf
解析：疫苗可分为以下两⼤类：①传统疫苗，⽬前应⽤最⼴泛，包括活疫苗、灭活疫苗、代谢产物和亚单
位疫苗，其中亚单位疫苗是指从细菌或病毒抗原中分离出蛋⽩质成分，除去核酸等其他成分⽽制成
的疫苗；②⽣物技术疫苗，包括基因⼯程重组亚单位疫苗、基因⼯程重组活载体疫苗、基因缺失疫
苗以及核酸疫苗、合成肽疫苗、抗独特型疫苗等。"
预防科目,规模化鸡场禽流感灭活疫苗免疫的⾸选途径是（ ）。,饮⽔,刺种,点眼,注射,滴⿐,D,"标准答案：D
出处：押题1.pdf
解析：灭活疫苗是指病原微⽣物经理化⽅法灭活后，仍保持有免疫原性，接种动物后能够使动物产⽣特异
性抵抗⼒的疫苗。该类疫苗不经消化道接种，⼀般进⾏肌内或⽪下注射，禽类滴⿐与点眼免疫效果
较好，但仅⽤于接种弱毒疫苗；饮⽔免疫是最⽅便的疫苗接种⽅法，适⽤于⼤型鸡场接种。"
预防科目,琼脂扩散反应属于（ ）。,沉淀试验,凝集试验,补体结合试验,中和试验,免疫标记试验,A,"标准答案：A
出处：押题1.pdf
解析：沉淀反应是指可溶性抗原与相应抗体结合，在适量电解质存在下，能够形成⾁眼可见的⽩⾊沉淀，
参与沉淀反应的抗体主要是IgM和IgG。这类反应主要包括环状沉淀试验、琼脂凝胶扩散试验和免疫
电泳技术，常⽤于检测抗体或抗原。"
预防科目,免疫学技术的发展趋向包括（ ）。,⽅法快速、简易,技术敏感性、特异性,试剂标准化和商品化,反应微量化和⾃动化,以上都是,E,"标准答案：E
出处：押题1.pdf
解析：免疫⾎清学技术的发展趋向⼀直是⾼度特异性、⾼度敏感性、精密的分辨能⼒、⾼⽔平的定位、试
验电脑化、反应微量化、⽅法标准化和试剂商品化以及⽅法简便快速。"
预防科目,针对破伤风病因的治疗措施是（ ）。,解痉镇静,⼜服防风散,加强护理,注射抗毒素,清创处理,D,"标准答案：D
出处：押题1.pdf
解析：破伤风是因破伤风杆菌侵⼊伤⼜后产⽣毒素⽽引起的急性感染，痉挛毒素导致患病动物（或⼈）出
现神经症状，最根本的治疗措施是注射抗毒素。"
预防科目,通过直接接触进⾏传染的疾病是（ ）。,⽝病毒性肝炎,猪传染性胸膜肺炎,狂⽝病,李⽒杆菌病,伪狂⽝病,C,"标准答案：C
出处：押题1.pdf
解析：狂⽝病又称恐⽔病，是由狂⽝病病毒引起的⼀种⼈畜共患的接触性传染病，可通过直接接触进⾏传
染，感染后的动物会出现极度的神经兴奋、狂暴和意识障碍，最终因全⾝⿇痹⽽死亡。"
